term,pos,schema definition / notes,comment,translation_es,comment_es,translation_es_MX,comment_es_MX,translation_es_CL,comment_es_CL,translation_es_UY,comment_es_UY,translation_es_GT,comment_es_GT,translation_es_BO,comment_es_BO,translation_es_EC,comment_es_EC,translation_es_PY,comment_es_PY,translation_es_AR,comment_es_AR,path
Currency,Noun,The currency for each amount should always be specified using the uppercase 3-letter currency code from ISO4217.,,Moneda,,Moneda,,Moneda,,Moneda,,Moneda,,Moneda,,Moneda,,Moneda,,Moneda,,"planning/budget/amount/currency,
tender/minValue/currency,
tender/value/currency,
tender/items/unit/value/currency,
awards/value/currency,
awards/items/unit/value/currency,
contracts/value/currency,
contracts/items/unit/value/currency,
contracts/implementation/transactions/value/currency"
data,,,,,,Datos,,,,dato,,,,datos  ,,,,datos,,dato,,#N/A
data model,,,,,,Modelo de datos,,,,modelo de datos,,,,,,,,modelo de datos,,modelo de datos,,#N/A
data publisher,,,,,,Publicador de datos,,,,datos del publicador,,,,,,,,publicador de datos,,publicador de datos,,#N/A
deprecated,Adjective,,Applies to data fields that will be removed from the standard in a future update.,descontinuado,,descontinuado,,descontinuado,,discontinuado,,descontinuado,,descontinuado,,descontinuado,,descontinuado,,descontinuado,,#N/A
document,Noun,,,,,Documento,,,,documento,,documentos,,documento,,Documento,,documento,,documento,,"planning/documents,
awards/documents,
contracts/documents,
contracts/implementation/documents"
electronic auction,Noun,,,subasta electrónica,,Subasta electrónica,,subasta electrónica,,pregón,,SUBASTA ELECTRONICA,,,,Subasta electrónica ,,subasta a la baja electrónica,,subasta electrónica,,#N/A
enquiry,Noun,,,consulta,,solicitud de aclaración,,consulta,,consulta,,consulta,,consulta,,consulta,,consulta,,consulta,,#N/A
equity,Noun,,,capital,,capital,,capital,En el contexto financiero está correcto,capital,,CONFORMACION DE CAPITAL,,capital,,capital,,capital,,capital,,#N/A
evaluation,Noun,,e.g. data evaluation,evaluación,,Evaluación,,Evaluación,,evaluación,,EVALUACION DE OFERTAS,,evaluación,,Calificación,Determinación de los parámetros de calificación y los valores o calificación asignada por cada proveedor dentro de los procedimientos de contratación pública,evaluación,,evaluación,,#N/A
extension,Noun,,"e.g. schema extension
",,,extensión,,extensión,no se refiere al caso de adenda o extensiones de contrato,extensión,,,,,,Extensión/ Anexo ,,,,extensión,,#N/A
